sLap,curv,theta,xi,yi
33.7634546128915,0.032504253681876,-0.07910809146480634,33.72619904208978,-5.228114441778858
34.447634692273,0.0344841370811897,-0.05551473181919379,34.409325109892734,-5.266077009007822
35.1318147716546,0.0354861186453917,-0.03984277218146083,34.85061096143872,-5.283668370091296
35.3309073766903,0.0355698314341656,-0.03276108178055201,35.04959673413043,-5.290189692517314
35.529999981726,0.0355554564320135,-0.017058500056358557,35.49116882148233,-5.297722980718401
36.2141800611076,0.0346851812961632,0.006672410036215614,36.17533367071073,-5.293157884564149
36.8983601404892,0.0324650451705008,0.021010153834952562,36.61687254149837,-5.283879719715134
37.0974527455248,0.0315507628418072,0.0272916773999899,36.815891005500625,-5.2784468230602455
37.2965453505605,0.0305185299730601,0.040769769346877205,37.257160360303395,-5.260446398860174
37.9807254299421,0.0260693319769942,0.05860588696832241,37.9401658163939,-5.220372367702676
38.6649055093237,0.0203974442529677,0.0676141396386069,38.380793034915705,-5.190534253534177
38.8639981143593,0.0185500848989135,0.07130732436476403,38.579379687872304,-5.176349520636621
39.063090719395,0.0166316987238204,0.07865248695386834,39.01965070575154,-5.141649526760265
39.7472707987766,0.0095918927097096,0.08521506886941725,39.701348164240976,-5.083417610153894
40.4314508781582,0.0020825207045337,0.0861347856959413,40.14134722463856,-5.045424379063569
40.6305434831939,-0.0001489094646028,0.08610513892271907,40.339702239817946,-5.028302657974123
40.8296360882295,-0.0023925037228915,0.08504852232982081,40.77974231127005,-4.990787404065642
41.5138161676111,-0.0100781884957946,0.07815322652474532,41.46183399303102,-4.937370939421263
42.1979962469927,-0.0176231240892794,0.07037021446366676,41.90237730209194,-4.906318538530295
42.3970888520284,-0.0197728855612894,0.06643357916819789,42.101030729000016,-4.893101831014459
42.596181457064,-0.0219062455548278,0.05675898500984042,42.54195587824086,-4.868048457462675
43.2803615364456,-0.0291028919133149,0.03684736611035447,43.225671544813,-4.842843927980063
43.9645416158272,-0.0361593121823802,0.02087809974134728,43.6672116369705,-4.833624070227149
44.1636342208629,-0.038199188116304,0.013272923869025528,43.86628670514092,-4.8309816068265725
44.3627268258985,-0.040238404545882,-0.004497817930927701,44.3079185801246,-4.832967999987915
45.0469069052801,-0.0472953052037881,-0.03685632359963251,44.9916340209,-4.858178653845268
45.7310869846617,-0.0544876885495375,-0.06092006706605438,45.43245110408196,-4.885066530934801
45.9301795896974,-0.056617226771011,-0.07219213823379184,45.631025128455555,-4.899426970481591
46.1292721947331,-0.0587571300554016,-0.09814142223013732,46.07053631429494,-4.942700244930026
46.8134522741147,-0.0662164048575077,-0.14344536736191119,46.74768941452887,-5.040506481265933
47.4976323534963,-0.0736104922170285,-0.1759544358928143,47.18250685423242,-5.117814002821345
47.6967249585319,-0.0757069372063621,-0.19102712724049917,47.37797791202956,-5.1556152057592115
47.8958175635676,-0.0777482450189233,-0.22536357778379834,47.80844656342716,-5.254303598812126
48.5799976429492,-0.0841323283102438,-0.2829252408456599,48.46542564116706,-5.445303264871112
49.2641777223308,-0.0888856229406746,-0.32218036223611224,48.8843385981718,-5.585141003743464
49.4632703273664,-0.0898397383126426,-0.3400667897724972,49.0720296455282,-5.651548353654003
49.6623629324021,-0.0905679591277798,-0.38006489196299237,49.48215106737961,-5.815386926944938
50.3465430117837,-0.0910259402026427,-0.4423430269566213,50.10047963037768,-6.108255787022895
51.0307230911653,-0.0880725845888664,-0.48123908106330576,50.491955826689725,-6.3126794805626645
51.2298156962009,-0.0865265809449106,-0.4984658834684562,50.66682225095452,-6.4078614066029
51.4289083012366,-0.0846939804982337,-0.5358698232227869,51.04655214483974,-6.633356121506276
52.1130883806182,-0.0762163533744514,-0.588015533924695,51.615819473951895,-7.01287830666562
52.7972684599998,-0.0649185753484459,-0.6166859360829793,51.9761062126317,-7.268291941170334
52.9963610650355,-0.0612058743002868,-0.628871573040908,52.137110769873956,-7.385404698490393
53.1954536700711,-0.0573532272475436,-0.6542008425363718,52.487564438996664,-7.654151576719379
53.8796337494527,-0.0433919927882526,-0.6838887796067642,53.0178872022676,-8.086424809500784
54.5638138288343,-0.0290154454493833,-0.6967030548025844,53.35660548439921,-8.369819559115605
54.76290643387,-0.0248859231435878,-0.7016576580699584,53.50866708926293,-8.498330779272264
54.9619990389056,-0.0208067304336987,-0.7108466663920174,53.843343401429536,-8.786487724067895
55.6461791182872,-0.0074272710057226,-0.7159282572583013,54.3595465532013,-9.2355274629814
56.3303591976688,0.0046280540163949,-0.7138843404109566,54.693345995744004,-9.524699714273975
56.5294518027045,0.0078244904557116,-0.712326542223052,54.844027901167,-9.65482591746917
56.7285444077402,0.0108731443270473,-0.7075245665341486,55.1796596509178,-9.941869446082185
57.4127244871217,0.0200882358248023,-0.6937805957529002,55.7056805712709,-10.379367300217972
58.0969045665033,0.0271943265914953,-0.6817705928282047,56.04859271472854,-10.657672745060001
